NISCODE;Administratieve eenheden
1000;HET RIJK
4000;BRUSSELS HOOFDSTEDELIJK GEWEST
21000;Arrondissement Brussel Hoofdstad
21001;Anderlecht
21002;Oudergem
21003;Sint-Agatha-Berchem
21004;Brussel
21005;Etterbeek
21006;Evere
21007;Vorst
21008;Ganshoren
21009;Elsene
21010;Jette
21011;Koekelberg
21012;Sint-Jans-Molenbeek
21013;Sint-Gillis
21014;Sint-Joost-ten-Node
21015;Schaarbeek
21016;Ukkel
21017;Watermaal-Bosvoorde
21018;Sint-Lambrechts-Woluwe
21019;Sint-Pieters-Woluwe
2000;VLAAMS GEWEST
10000;Provincie Antwerpen
11000;Arrondissement Antwerpen
11001;Aartselaar
11002;Antwerpen
11004;Boechout
11005;Boom
11007;Borsbeek
11008;Brasschaat
11009;Brecht
11013;Edegem
11016;Essen
11018;Hemiksem
11021;Hove
11022;Kalmthout
11023;Kapellen
11024;Kontich
11025;Lint
11057;Malle
11029;Mortsel
11030;Niel
11035;Ranst
11037;Rumst
11038;Schelle
11039;Schilde
11040;Schoten
11044;Stabroek
11050;Wijnegem
11052;Wommelgem
11053;Wuustwezel
11054;Zandhoven
11055;Zoersel
11056;Zwijndrecht
12000;Arrondissement Mechelen
12002;Berlaar
12005;Bonheiden
12007;Bornem
12009;Duffel
12014;Heist-op-den-Berg
12021;Lier
12025;Mechelen
12026;Nijlen
12029;Putte
12030;Puurs
12034;Sint-Amands
12035;Sint-Katelijne-Waver
12040;Willebroek
13000;Arrondissement Turnhout
13001;Arendonk
13002;Baarle-Hertog
13003;Balen
13004;Beerse
13006;Dessel
13008;Geel
13010;Grobbendonk
13011;Herentals
13012;Herenthout
13013;Herselt
13014;Hoogstraten
13016;Hulshout
13017;Kasterlee
13053;Laakdal
13019;Lille
13021;Meerhout
13023;Merksplas
13025;Mol
13029;Olen
13031;Oud-Turnhout
13035;Ravels
13036;Retie
13037;Rijkevorsel
13040;Turnhout
13044;Vorselaar
13046;Vosselaar
13049;Westerlo
20001;Provincie Vlaams-Brabant
23000;Arrondissement Halle-Vilvoorde
23105;Affligem
23002;Asse
23003;Beersel
23009;Bever
23016;Dilbeek
23098;Drogenbos
