OIDN,UIDN,CODSEC,NISCODE,SEC,SECNAAM,LENGTE,OPPERVL
331,21038,12007A021,12007,A021,GROTE HEIDE(ST.BERNARDUSABDIJ),4048.18,819805.06
1619,39885,11035A20-,11035,A20-,SPRUITERSHOF,3591.88,553898.81
1646,21702,13017A102,13017,A102,TERLO,4276.99,791133.11
1979,22034,13053A020,13053,A020,WIJNGAARDBOSSEN - HAANVEN - OUDE GEELSE BAAN,6011.49,1082734.76
1636,20706,11035C081,11035,C081,NIERLENDERS,4623.69,494738.91
318,40076,12005A183,12005,A183,MECHELS BROEK,5821.45,842333.78
663,21370,12035A032,12035,A032,DORPSVELD,4390.33,487146.37
1245,20042,11002T20-,11002,T20-,GITSCHOTEL,2694.67,303724.51
1165,39659,11002Q17-,11002,Q17-,MERKSEM-DOKKEN,3603.38,601633.41
828,40316,13008A391,13008,A391,STELEN-VERSPREIDE BEWONING,20075.3,4569954.66
1613,20683,11035A000,11035,A000,RANST-CENTRUN,4843.87,649505.69
640,21347,12030D080,12030,D080,DE WOLF,4692.31,1051814.11
66,39932,11039B10-,11039,B10-,BELLEMONT,7501.18,1853073.25
973,21679,13014E001,13014,E001,WORTEL-DORP,4683.01,648427
1006,19804,11002A00-,11002,A00-,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),2208.17,222578.23
1956,22011,13049A200,13049,A200,VOORTKAPEL,6672.61,1634700.08
1777,40445,13025A7MC,13025,A7MC,KERNMETINGEN,2760.56,335021.61
1940,40518,13046A091,13046,A091,DE BREEM,11320.92,2028476.7
1933,21988,13046A001,13046,A001,VOSSELAAR-CENTRUM,3564.28,426207.33
285,20992,11057B00-,11057,B00-,OOSTMALLE-CENTRUM,3351.08,486947.29
1431,39771,11013A181,11013,A181,MOLENVELD-ZUID,3534.41,364745.08
617,21324,12030A175,12030,A175,INDUSTRIEPARK,4869.53,795583.11
448,21155,12021A301,12021,A301,BOGERSE VELDEN,2701.81,385029.31
1590,20660,11029A12-,11029,A12-,DRABSTRAAT,3799.26,370037.39
1029,19827,11002B813,11002,B813,BLANCEFLOERLAAN  (LINKEROEVER),4444.84,741404.93
1199,19996,11002R31-,11002,R31-,DRIEKONINGEN,3540.77,492969.02
1401,20159,11009B00-,11009,B00-,SINT-LENAARTS-CENTRUM,4035.06,646433.5
879,21585,13010B022,13010,B022,KERKBLOK,3002.43,345612.07
1885,21940,13037A201,13037,A201,ACHTEL-KERN,3014.51,265615.61
792,40299,13004B001,13004,B001,VLIMMEREN-KERN,6128.92,663262.12
1052,19850,11002D38-,11002,D38-,GAS (OOSTWIJK),2148.27,96245.92
594,21301,12029A22-,12029,A22-,KRANKHOEVE,1761.86,100174.54
262,20969,11056B00-,11056,B00-,BURCHT-DORP,4008.49,516273.5
1567,20637,11024A423,11024,A423,WILDVELD,1770.08,210708.75
1176,19973,11002Q49-,11002,Q49-,SPORTPALEIS,2498.62,185475.7
471,21178,12025A05-,12025,A05-,GASTHUIS,1643.87,128947.56
1862,40487,13036A091,13036,A091,RETIE-VERSPR. BEW.,65733.46,24779857.87
1810,21865,13031A100,13031,A100,ZWANEVEN,3492.99,548203.47
1453,20211,11016A3AJ,11016,A3AJ,WILDERT - WEEKENDZONE-WEST,5574.34,1234336.41
494,21201,12025A42-,12025,A42-,RIDDER DESSAINLAAN,3135.24,274342.22
1075,19873,11002F6NJ,11002,F6NJ,KIELSE POLDER (KIEL),8863.87,1439771.68
833,21539,13008A512,13008,A512,ZAMMEL-UITBREIDING,3288.47,256094.12
208,40015,11054C081,11054,C081,MENKHOEVEN - VROEGEINDE,11805.47,2578826.83
856,21562,13008B800,13008,B800,TEN AARD-KERN,4261.98,900262.61
1907,40504,13040A370,13040,A370,INDUSTRIEPARK,8735.78,2263518.51
1833,21888,13035B00-,13035,B00-,WEELDE-CENTRUM,4554.77,478880.07
732,21439,13001A221,13001,A221,BERGEN,4922.79,961899.98
1336,39720,11005A22-,11005,A22-,GEBO,2022.24,161063.22
160,39989,11053A052,11053,A052,RIJSVENNEN,6041.9,588304.8
517,21224,12025A70-,12025,A70-,LEUVENSE STEENWEG,3605.61,311508.88
349,40092,12007B29-,12007,B29-,EIKEVLIET-VERSPREIDE BEWONING,8810.27,2071626.5
1490,20560,11022A091,11022,A091,VOGELENZANG,3489.06,497284.82
1098,19896,11002J820,11002,J820,IJZERLAAN (DAM - SCHIJNPORT),3238.59,466258.21
540,21247,12025C01-,12025,C01-,DE KNIP,4366.78,327078.93
44,20752,11039A00-,11039,A00-,SCHILDE-DORP,4416.7,585710.77
491,40152,12025A39-,12025,A39-,MECHELSBROEK,6972.79,1106633.71
9716,44118,46025B091,46025,B091,STEENDORP-VERSPREIDE BEWONING,4190.55,39855.96
1856,21911,13035C1AA,13035,C1AA,AARLE-ZUID,2178.44,170560.51
1193,19990,11002R22-,11002,R22-,ERTBRUGGE,1454.28,129617.15
1536,20606,11023A280,11023,A280,WOLVEBOS,8996.95,3465647.05
1268,20065,11002U33-,11002,U33-,SINT-AUGUSTINUS,3617.08,492513.23
553,40175,12025F032,12025,F032,VENNE,3558.37,445069.91
686,21393,12040A01-,12040,A01-,WILLEBROEK-CENTRUM-ZUID,3184.58,306054.41
810,21516,13008A002,13008,A002,GEEL-CENTRUM ZUID,4234.94,379707.42
563,21270,12026A00-,12026,A00-,NIJLEN-CENTRUM,2695.87,249023.19
999,48591,11001A0PA,11001,A0PA,CLEYDAEL-KASTEEL,7570.05,1710488.92
1544,39837,11023B49-,11023,B49-,VERLOREN HOEK - BUNGE,12065.47,3288865.65
561,40181,12025F312,12025,F312,MUIZENBURG,3181.09,232037.56
76,20783,11040A091,11040,A091,GEMEENTELIJK DOMEIN,2468.05,230100.75
586,21293,12029A03-,12029,A03-,STOMPAARSHOEK,3261.99,273410.61
1467,39791,11018A090,11018,A090,KASTEEL,3259.57,449589.36
919,21625,13012A032,13012,A032,SPORTCENTRUM,2373.63,251078.28
497,40154,12025A45-,12025,A45-,ZEMSTBAAN,3745,526657.06
290,40063,11057B1PN,11057,B1PN,BLOMMERSCHOT - SALPHEN,17529.09,10808622.25
1925,21980,13044A01-,13044,A01-,VISPLUK,5037.51,647897.63
1216,20013,11002S04-,11002,S04-,HET LAAR,1992.25,195873.81
1012,19810,11002A081,11002,A081,SCHELDEKADEN NOORD,3297.31,148958.93
764,21470,13003A711,13003,A711,RIJT,2562.18,266524.81
1384,20142,11009A0AD,11009,A0AD,STEEGHOVEN,2536.92,160034.9
1962,22017,13049B033,13049,B033,MOLENWIJK - MEULEVELD,6266.05,707992.42
648,40227,12034A091,12034,A091,SINT-AMANDS - VERSPREIDE BEW.,18486.94,3956031.95
